Date,fedfunds,vix,vol_spread,Flat,News Sentiment
2001-03-09,5.489776126016471,24.643979723528542,-35.017973930306425,-0.05707060493001268,0.12548715584276315
2001-03-12,5.490352361812421,24.963890362793567,-35.17364665214026,-0.06287188945193344,0.12251134835961992
2001-03-13,5.490883430798832,25.106246719559756,-35.42610948049467,-0.06656705887427211,0.11896810934683437
2001-03-14,5.490297563608789,25.348688770033792,-35.412861133310244,-0.07213496918631984,0.11421287048238461
2001-03-15,5.491863035797923,25.517941499168675,-35.45487447895789,-0.0794011701386721,0.10996709671356529
2001-03-16,5.487117415087729,25.74483410728779,-35.463404820739356,-0.07994870295268001,0.10438030874923392
2001-03-19,5.481687956644181,25.94936448649234,-35.50124747682501,-0.07893756341392659,0.09824353529054378
2001-03-20,5.464678712818224,26.198794176696495,-35.47529975096994,-0.06754103988622444,0.09264325935483755
2001-03-21,5.444387267482469,26.479238882625975,-35.224993135114524,-0.05151349639141016,0.08747317145792038
2001-03-22,5.424919936713012,26.785447931660357,-34.947464544900484,-0.03651713829350257,0.08255276020254843
2001-03-23,5.401935945098063,26.959138530117045,-34.7617865279021,-0.015827318208301456,0.07762487050477997
2001-03-26,5.38456642631761,27.056315376982766,-34.67857656939435,0.0017239288487830486,0.07656757232081997
2001-03-27,5.368700871924042,27.055564135767135,-34.5317586233152,0.021904342014863798,0.07492400017914581
2001-03-28,5.3542228609458435,27.12481653236297,-34.3981197870408,0.04089768046951492,0.07423530119887686
2001-03-29,5.346857958963125,27.21653686709024,-34.344387713782005,0.053414581068203695,0.07439415306167171
2001-03-30,5.344339229095782,27.27959433825706,-34.310969369175375,0.05459227878934015,0.07490490872441292
2001-04-02,5.342398027069846,27.451670208517267,-34.23868879169223,0.057018067032844566,0.07897477013470713
2001-04-03,5.331904383298812,27.76632319709228,-34.068179165006725,0.0671040790321905,0.08213308576625386
2001-04-04,5.31811803891168,28.03629361010586,-33.94791200780677,0.08093288845082525,0.08493318618844427
2001-04-05,5.306329076641157,28.11698856571694,-34.02853836222423,0.09488149738573644,0.08710051566223874
2001-04-06,5.290953522161866,28.266954908729257,-34.092397110523066,0.1097865219434749,0.08783607955735741
2001-04-09,5.278025057939721,28.41842120438239,-34.09645513004897,0.12393152261227419,0.08803033217585574
2001-04-10,5.264921932960936,28.460511833093765,-34.20578528878876,0.14313426577800548,0.0883008026205275
2001-04-11,5.2520589977625605,28.46049092735419,-34.23087278890004,0.1609779757313077,0.08940772836774671
2001-04-12,5.242659323158314,28.365688082631795,-34.18547123330427,0.17511530067656875,0.09055728026681455
2001-04-16,5.239739684229608,28.2838888872305,-34.3885752303144,0.1853572250178475,0.09328290575706441
2001-04-17,5.22978132221538,28.177267652375484,-34.587608135223554,0.20149234287924947,0.09575067481119336
2001-04-18,5.207624172090374,28.01706952962487,-34.72663491364071,0.2291405304983699,0.0976170525671464
2001-04-19,5.178633906966478,27.865478146782518,-34.929173585482765,0.26847652634892155,0.09938370129923661
2001-04-20,5.147458874044962,27.768456392038882,-35.13492265969916,0.3099135714698011,0.10101971067004248
2001-04-23,5.118471845897774,27.783640753318053,-35.34763816388788,0.34598303618459336,0.1028791794509503
