,flagy,flagx,returns,divergent,cummret,results
2004-12-21,2.4772467096524657,-0.9231054837637822,0.005957740220255965,1.0,1.18433948268759,NONE
2004-12-22,-0.061712371417696366,0.14653805045922186,0.0,0.0,1.18433948268759,NONE
2004-12-23,0.2774532700428184,0.0695905524020966,0.0,0.0,1.18433948268759,NONE
2004-12-27,0.44563551492519493,-0.36734276207814415,0.0,0.0,1.18433948268759,NONE
2004-12-28,0.34634745228802677,-0.3939754015462329,0.0,0.0,1.18433948268759,NONE
2004-12-29,-0.15365254771197323,0.1060245984537671,0.0,0.0,1.18433948268759,NONE
2004-12-30,-0.6536525477119732,-0.3939754015462329,0.0,0.0,1.18433948268759,NONE
2004-12-31,-0.5715132510172377,-0.5201700263906284,0.0,0.0,1.18433948268759,NONE
2005-01-03,-0.07151325101723771,-0.02017002639062837,0.0,0.0,1.18433948268759,NONE
2005-01-04,0.0258142589598902,-0.37262155231508637,0.0,0.0,1.18433948268759,NONE
2005-01-05,-0.35636768353447584,-0.4015458590637416,0.0,0.0,1.18433948268759,NONE
2005-01-06,-0.3721963851974386,-0.27683941885648106,0.0,0.0,1.18433948268759,NONE
2005-01-07,0.12780361480256142,0.006586389520352676,0.0,0.0,1.18433948268759,NONE
2005-01-10,0.15715276783140308,0.27315425361256845,0.0,0.0,1.18433948268759,NONE
2005-01-11,0.6571527678314031,0.7731542536125684,0.0,0.0,1.18433948268759,NONE
2005-01-12,0.5304990480290361,0.6465005338102014,0.0,0.0,1.18433948268759,NONE
2005-01-13,0.8365260887432373,0.8930378690390292,0.0,0.0,1.18433948268759,NONE
2005-01-14,0.623995780185741,1.0258815312040168,0.0,-1.0,1.18433948268759,WIN
2005-01-18,0.6489245659437628,0.9454977204368331,0.0017398478926357575,-1.0,1.1864000532407093,NONE
2005-01-19,1.0527833957382065,1.2017443405054289,0.0014033486753759535,-1.0,1.1880649861838906,NONE
2005-01-20,1.1215126053423736,1.0212333446087185,-0.0007247505592726834,-1.0,1.1872039354207016,NONE
2005-01-21,1.2240117096967214,1.1616028923128128,0.002518016418583553,-1.0,1.190193334422298,NONE
2005-01-24,0.9868773935969559,1.0405940297935405,-0.0021547642725067394,-1.0,1.187628748347909,NONE
2005-01-25,1.3794535353854918,0.8256300313479226,0.0012647898864627312,-1.0,1.189130849177692,NONE
2005-01-26,1.2462839091772058,1.149786911169592,-0.0029527801642053805,-1.0,1.1856196071935954,NONE
2005-01-27,1.7462839091772058,1.2905966588837678,-0.0018664048510196114,-1.0,1.1834067610072652,NONE
2005-01-28,1.8011641535952192,0.9450087227862811,0.0025935280898367378,-1.0,1.1864759596836403,NONE
2005-01-31,2.1922813196746325,1.0219673978585337,0.0006761575798065753,-1.0,1.1872782043970387,NONE
2005-02-01,1.9578765372958777,1.02978898168362,-0.005625228425268017,-1.0,1.1805994932929633,NONE
2005-02-02,1.8487498490854954,1.4438235146980705,0.0003966585385536598,-1.0,1.1810677881625902,NONE
2005-02-03,1.8703158920750624,1.9438235146980705,0.0001223585009335719,-1.0,1.1812123018466507,NONE
2005-02-04,2.021303006885815,1.9852171192563322,0.004192741395290302,-1.0,1.1861648195612293,NONE
2005-02-07,1.7696110608013833,1.928459856685627,0.007588175612570949,-1.0,1.1951656465175133,NONE
2005-02-08,1.9825141586657584,1.953611260170274,0.00020161196486985868,-1.0,1.1954066062118527,NONE
2005-02-09,2.3216798001262733,1.8766637621131488,-0.0013760949730485675,-1.0,1.1937616131902955,NONE
2005-02-10,1.9924799996304299,2.030839968108459,0.0006001367270924063,-1.0,1.1944780333777643,NONE
2005-02-11,2.3624915840878593,2.1035582853510815,-0.0006592132118329085,-1.0,1.1936906176769173,NONE
2005-02-14,1.8624915840878593,2.6035582853510815,0.002300531593211223,-1.0,1.1964367406554028,NONE
2005-02-15,1.5323410689546808,2.8184816838628004,0.0002918534527863409,-1.0,1.1967859248492034,NONE
2005-02-16,1.7257939854911464,2.5766337035925906,-0.002163911170134103,-1.0,1.194196186418163,NONE
2005-02-17,1.538359589963014,2.4394781693751826,0.002536775823448618,-1.0,1.1972255944323231,NONE
2005-02-18,-0.35697035430512253,0.3118109521139615,0.0,0.0,1.1972255944323231,NONE
2005-02-22,0.14302964569487747,0.8118109521139615,0.0,0.0,1.1972255944323231,NONE
2005-02-23,0.19862093345154025,0.7928295378386869,0.0,0.0,1.1972255944323231,NONE
2005-02-24,-0.18228260852740708,1.132270403913095,0.0,-1.0,1.1972255944323231,WIN
2005-02-25,0.08323100961681817,1.174555049285449,0.0010093897402604927,-1.0,1.1984340616641205,NONE
2005-02-28,-0.37707942930991595,1.60591892308174,0.0010980208327148206,-1.0,1.1997499672304628,NONE
2005-03-01,-0.5835917053171638,1.7271231035668246,0.0006566131281772005,-1.0,1.2005377388094765,NONE
2005-03-02,-0.9893334353577332,2.102023204978498,-0.0006688557802572324,-1.0,1.1997347522034567,NONE
2005-03-03,-1.4792809716942585,2.582101237900068,-0.0035342196830996453,-1.0,1.1954946260277206,NONE
2005-03-04,-1.944798826732514,3.022101660529756,0.0014879376069900554,-1.0,1.1972734474407418,NONE
2005-03-07,-1.7394374140856845,2.871913687644749,0.0024719794616914212,-1.0,1.2002330828128438,NONE
2005-03-08,-1.7442460779482063,3.2350791600922344,0.00013640174847818261,-1.0,1.2003967967039209,NONE
2005-03-09,-2.2180962661512114,3.6879708599082046,1.2767771450654126e-05,-1.0,1.2004121230958713,NONE
2005-03-10,-2.6511726792780514,4.104123694809349,0.003932411430778366,-1.0,1.2051326374503784,NONE
2005-03-11,-2.916156976660741,4.471307289164844,0.001373587938808663,-1.0,1.2067879931058447,NONE
2005-03-14,-2.7460073081133105,4.199090738961076,0.0024235962530323027,-1.0,1.2097127599641404,NONE
2005-03-15,-3.002938757483528,4.388593056480104,0.004062728631712666,-1.0,1.214627494630195,NONE
2005-03-16,-2.502938757483528,4.220112895392774,-0.00494301812652335,-1.0,1.2086235689072642,NONE
2005-03-17,-2.002938757483528,4.720112895392774,0.00014209618793005696,-1.0,1.2087953097090485,NONE
2005-03-18,-2.0990934413151714,4.781917562597357,-0.003477495716117254,-1.0,1.2045917291978727,NONE
2005-03-21,-1.7529255878433743,4.411589413465694,0.004322493029102196,-1.0,1.2097985685502446,NONE
2005-03-22,-2.0828436797755794,4.692965784076711,0.0005547305769686779,-1.0,1.2104696808081923,NONE
2005-03-23,-2.439814034080702,5.0047767361906725,-0.0014108296076346372,-1.0,1.208761914343364,NONE
2005-03-24,-1.982656297575752,4.956492845097171,0.0010983182105186416,-1.0,1.2100895195660688,NONE
2005-03-28,-1.482656297575752,4.834488752498786,0.0012203823313639147,-1.0,1.211566291435116,NONE
2005-03-29,-1.5392123464878298,4.995537994327408,-0.000605880385331159,-1.0,1.210832227183607,NONE
2005-03-30,-1.8333943470797769,5.2263985232337475,-0.0031352129368344738,-1.0,1.2070360103206048,NONE
2005-03-31,-2.214297889058724,5.565839389308156,0.0018533975970263358,-1.0,1.2092731279616573,NONE
2005-04-01,-2.0959850692472455,5.367401482166259,0.0006254549022628914,-1.0,1.2100294737677157,NONE
2005-04-04,-1.5959850692472455,5.867401482166259,0.001348296581743996,-1.0,1.2116609523710062,NONE
2005-04-05,-2.033148112865641,6.28553785854679,-0.0016429667697539308,-1.0,1.2096702336900522,NONE
2005-04-06,-2.4501615758449087,6.658372394154766,0.003502607943255522,-1.0,1.213907234259295,NONE
2005-04-07,-2.358214822546393,6.824874722139472,0.002250024221993452,-1.0,1.2166385549396312,NONE
2005-04-08,-2.510410754211676,6.920947049853218,-0.00012906656268789297,-1.0,1.2164815275833116,NONE
2005-04-11,-2.834284404275226,7.165446984299635,0.002311916982553656,-1.0,1.2192939318858942,NONE
2005-04-12,-2.6660730314793466,7.186845210562105,0.0004152253967200357,-1.0,1.2198002136924797,NONE
