,returns,divergent,cummret,results
2007-09-12,0.0,0.0,1.1902771979076863,NONE
2007-09-13,0.0,0.0,1.1902771979076863,NONE
2007-09-14,0.0,1.0,1.1902771979076863,WIN
2007-09-17,0.000978545807964149,1.0,1.1914419386700141,NONE
2007-09-18,0.0007612822584251305,1.0,1.1923489622798673,NONE
2007-09-19,0.00012002645625919196,1.0,1.192492075700434,NONE
2007-09-20,0.0007131459610377347,1.0,1.1933424966077892,NONE
2007-09-21,0.0006468215729508063,1.0,1.194114376278514,NONE
2007-09-24,0.0021367585123568435,1.0,1.1966659103367547,NONE
2007-09-25,-0.0007207149533523538,1.0,1.195803455321008,NONE
2007-09-26,-0.00024881921454719084,1.0,1.195505916444502,NONE
2007-09-27,0.0009627144827065018,1.0,1.1966568473044246,NONE
2007-09-28,-0.00019718071673308383,1.0,1.1964208896495894,NONE
2007-10-01,-4.277838544412046e-05,1.0,1.1963697086956186,NONE
2007-10-02,-8.943144007324722e-05,1.0,1.19626271562971,NONE
2007-10-03,-0.0008136228438484568,1.0,1.1952894089570296,NONE
2007-10-04,0.0001698970450231946,1.0,1.195492485095559,NONE
2007-10-05,-0.00047573323964257216,1.0,1.1949237495826561,NONE
2007-10-09,-0.00023169687951030441,1.0,1.194646889478625,NONE
2007-10-10,0.00032474230111036347,1.0,1.1950348418585286,NONE
2007-10-11,-6.124945863809076e-05,1.0,1.1949616466214112,NONE
2007-10-12,0.0011210300974513847,1.0,1.1963012345925739,NONE
2007-10-15,0.00028716195758612213,1.0,1.1966447667969622,NONE
2007-10-16,0.0003810875330694345,1.0,1.1971007931991013,NONE
2007-10-17,-0.0006017543184653848,1.0,1.1963804326271554,NONE
2007-10-18,0.0010693491383438319,1.0,1.1976597810119167,NONE
2007-10-19,-0.0009855891844760545,1.0,1.1964793804850693,NONE
2007-10-22,-0.0008561597471036375,0.0,1.1954550030012585,NONE
2007-10-23,0.0,1.0,1.1954550030012585,LOSE
2007-10-24,-0.001285047333394903,0.0,1.193918786737458,NONE
2007-10-25,0.0,-1.0,1.193918786737458,WIN
2007-10-26,0.0015123846654487073,-1.0,1.195724451202311,NONE
2007-10-29,0.00022874778847928236,-1.0,1.195997970526154,NONE
2007-10-30,0.000987790556125398,-1.0,1.1971793660265848,NONE
2007-10-31,0.0006493382798547704,-1.0,1.1979567404167981,NONE
2007-11-01,0.0017350057148456822,-1.0,1.2000352022075593,NONE
2007-11-02,0.0014808615936357018,-1.0,1.2018122882495192,NONE
2007-11-05,-0.0003325155426942678,-1.0,1.2014126669842753,NONE
2007-11-06,-0.0010368066963886127,-1.0,1.2001670342860198,NONE
2007-11-07,-0.0001950800665612791,-1.0,1.1999329056210866,NONE
2007-11-08,0.0005439215744108448,-1.0,1.2005855750162993,NONE
2007-11-09,0.00043721382325398884,-1.0,1.2011104876256957,NONE
2007-11-13,0.00041464916841113184,-1.0,1.2016085270905597,NONE
2007-11-14,0.0015488927884408773,-1.0,1.2034696898726993,NONE
2007-11-15,-0.000571582471099662,-1.0,1.2027818076934682,NONE
